channel,kw_min_p,kw_eta2_from_maxH,mi_sum,MI_BP_0.0-1.0Hz,MI_BP_0.5-4.0Hz,MI_BP_4.0-8.0Hz,MI_slope,MI_offset,kw_p_adj,kw_significant
10,0.004919114296631438,0.03693987274058199,0.06616248907170386,0.0,0.05253936263977366,0.009788449753827422,0.0,0.0038346766781027775,0.00629646629968824,True
37,0.010589761481872254,0.03099914784991682,0.2096579436567252,0.024042076608575602,0.07880265243693918,0.009125281917161221,0.004100432003576238,0.09358750069047295,0.013289112447839691,True
38,0.011060900627853684,0.030658963530228935,0.10202950962018997,0.005368637949907384,0.03514859518300639,0.0,0.0,0.061512276487276196,0.013613416157358381,True
42,0.011678593746911272,0.030233789440096144,0.19642973717784695,0.009197290868344421,0.05436002050562383,0.008134742682337937,0.007300670199677839,0.11743701292186293,0.014102452826458894,True
6,0.013201310043239689,0.029272819415507648,0.10925179449849409,0.0,0.0,0.0,0.051932037972567624,0.05731975652592647,0.015645997088284076,True
46,0.022950717607284784,0.02489751299810404,0.15920993825128704,0.04039826087519627,0.0,0.0,0.0,0.11881167737609077,0.02670628957938593,True
39,0.025862471978075507,0.02394316496799809,0.0407785594448522,0.004952403317546317,0.010025694209900848,0.0,0.0073503973536115375,0.0184500645637935,0.029557110832086293,True
0,0.03572108589580284,0.02134351408675399,0.07042250566400954,0.0,0.0,0.0,0.032079682203137505,0.03834282346087203,0.040107885918094416,True
41,0.0541563456506345,0.017945800251515983,0.04289592728713787,0.0,0.036131193151146324,0.006764734135991546,0.0,0.0,0.0597587262351829,False
34,0.08746044649614894,0.013948653265011456,0.17146715259578604,0.044577214171735324,0.0,0.014362666383139544,0.0,0.11252727204091117,0.09487234874158529,False
16,0.13460516744308773,0.010252153837491201,0.06560808120217887,0.01328834352013386,0.008554772577818337,0.027161928657142287,0.0,0.016603036447084385,0.1435788452726269,False
1,0.22407577222517555,0.0057063122923590665,0.0,0.0,0.0,0.0,0.0,0.0,0.235095892170676,False
33,0.29310618815020006,0.00319953450832484,0.06535944917641023,0.019704708990185615,0.0,0.0,0.04565474018622462,0.0,0.3025612264776259,False
35,0.3355738159277096,0.0018959325787864915,0.08548216734895275,0.02148011519736004,0.0037804209853296022,0.0,0.04887965894380919,0.011341972222453922,0.3409003844344986,False
32,0.5813410624819342,0.0,0.044652617862003474,0.0,0.013839356728502672,0.030813261133500802,0.0,0.0,0.5813410624819342,False
